,PRECTOT,ALLSKY_SFC_SW_DWN,SSC,NO,cos,DO,Si,TKN,Geo
77,5.97,28.66,26.0,0.54,-0.98,6.01,9.21,0.841,2.5
78,0.0,24.62,21.0,0.02,-0.12,10.83,7.75,0.75,4.3
79,0.0,11.8,32.0,0.018000000000000002,0.45,8.68,10.22,0.5529999999999999,5.0
80,0.9,26.86,18.0,0.24,-0.99,6.84,8.51,0.7490000000000001,4.7
81,0.05,17.71,12.0,0.04,0.21,9.18,8.4,0.753,2.5
82,0.69,14.47,21.0,0.18,0.18,7.92,9.27,0.8170000000000001,2.5
83,0.0,16.0,23.0,0.136,0.34,9.21,8.13,0.664,54.1
84,0.0,27.76,26.0,0.132,-0.94,6.78,6.24,0.642,16.6
85,0.06,18.43,13.0,0.15,-0.47,6.64,2.48,0.64,1.0
86,14.17,8.11,20.0,0.005,-0.13,9.93,6.11,0.6729999999999999,0.5
87,0.17,27.9,9.0,0.04,-0.97,6.48,3.28,0.72,5.0
88,0.0,12.16,10.0,0.06,0.48,12.27,3.47,0.634,17.0
89,0.0,25.81,14.0,0.07,-0.72,6.82,7.18,0.6970000000000001,2.5
90,0.01,16.48,27.0,0.18,-0.67,8.24,11.22,1.02,2.5
91,0.09,3.3,24.0,0.25,0.95,12.11,19.92,0.599,1.0
92,0.01,28.89,55.0,0.87,-0.95,7.31,31.2,0.541,1.0
93,4.24,22.21,24.0,0.17,-0.55,6.68,9.23,0.701,2.5
94,0.01,17.44,18.0,0.005,0.23,11.39,5.12,0.5870000000000001,2.1
95,0.0,11.2,7.0,0.005,0.92,13.13,1.35,0.556,0.5
96,0.0,27.45,38.0,0.094,-0.91,7.17,10.52,0.688,0.5
97,0.0,7.2,24.0,1.7,0.95,12.74,34.24,0.569,1.0
98,0.0,28.51,17.0,0.39,-0.56,9.4,7.97,0.645,2.5
99,0.0,24.66,11.0,0.12,-0.52,8.41,8.26,0.805,2.5
100,0.08,21.37,18.0,0.076,-0.87,6.04,12.11,0.516,1.0
101,0.0,27.57,20.0,0.17,-0.94,7.65,8.87,0.8270000000000001,2.5
102,0.0,22.07,12.8,0.03,-0.81,5.91,1.44,0.59,3.7
103,0.02,15.62,14.0,0.42,0.31,9.58,9.94,0.58,1.0
104,0.0,10.48,2.0,0.2,0.79,13.6,0.81,0.7120000000000001,32.0
105,0.0,28.8,2.0,0.07,-0.91,6.54,10.42,0.8059999999999999,64.0
106,0.0,27.18,6.0,0.005,-0.93,10.12,2.02,0.608,8.4
107,0.0,25.03,34.0,0.48,-0.58,6.47,25.57,0.5379999999999999,1.0
108,12.04,26.96,13.0,0.05,-0.96,8.52,10.0,0.792,43.0
109,0.01,11.48,7.0,0.17,0.98,14.4,10.0,0.728,2.5
110,0.0,18.01,17.0,0.01,0.48,16.95,3.39,1.0959999999999999,4.8
111,0.0,14.54,21.0,0.04,0.44,8.94,9.68,0.743,2.5
112,0.0,28.68,32.0,0.15,-1.0,6.92,15.23,0.5479999999999999,1.0
113,0.0,29.12,15.0,0.38,-0.89,8.21,0.45,0.627,2.5
114,0.03,19.97,23.0,0.105,0.33,11.6,11.99,0.67,1.0
115,0.0,5.79,8.0,0.47,0.99,13.19,6.47,0.336,2.7
116,2.99,11.54,36.0,0.55,-0.38,7.17,29.77,0.598,2.0
117,0.0,16.25,23.0,0.07,0.28,9.15,11.59,0.631,4.2
118,0.7,10.05,35.0,0.36,-0.82,8.07,20.87,0.7859999999999999,1.0
119,7.87,7.21,22.0,0.01,0.37,13.83,3.58,0.915,5.8
120,1.41,17.99,10.0,0.04,-1.0,5.96,5.03,0.738,14.3
121,0.02,14.3,22.0,0.396,0.71,12.63,15.68,0.54,2.0
122,0.0,10.69,39.0,0.82,0.91,11.75,41.51,0.551,1.0
123,0.86,11.16,13.0,0.51,0.79,9.7,11.3,0.552,1.0
124,0.15,20.21,109.0,0.15,-0.18,7.92,23.74,0.7020000000000001,3.7
125,0.0,29.02,12.5,0.02,-0.96,8.38,7.53,1.254,113.0
126,0.47,12.7,4.0,0.19,0.75,12.63,0.97,0.6679999999999999,5.4
127,9.26,23.15,7.0,0.08,-0.86,8.21,9.34,0.84,2.5
128,1.53,3.35,22.0,0.03,0.41,9.05,23.33,0.755,5.0
129,0.0,10.56,18.0,0.233,0.95,13.29,6.4,0.545,5.8
130,0.3,15.67,42.0,0.84,0.29,7.86,36.87,0.5489999999999999,1.0
131,1.1,20.14,23.0,0.02,-0.8,6.6,26.85,0.581,3.2
132,3.13,20.15,21.0,0.01,-0.89,5.4,20.78,0.53,1.0
133,1.24,6.59,20.0,0.37,0.07,8.0,10.43,0.55,1.0
134,0.0,11.77,15.0,0.03,-0.2,9.84,11.5,0.688,2.5
135,0.0,22.61,15.0,0.06,-0.53,10.9,12.03,0.727,2.5
136,0.14,24.34,23.0,0.06,-0.72,5.3,30.47,0.583,5.6
137,0.0,13.39,21.0,0.15,0.68,9.61,6.6,0.682,3.5
